nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-09-21,934,68,1002,48.110442,17.127512,Centrum,Petržalka,6,1,9,2025
#1 - Starý Most,2025-09-22,976,71,1047,48.110442,17.127512,Centrum,Petržalka,0,0,9,2025
#1 - Starý Most,2025-09-23,682,61,743,48.110442,17.127512,Centrum,Petržalka,1,0,9,2025
#1 - Starý Most,2025-09-24,193,29,222,48.110442,17.127512,Centrum,Petržalka,2,0,9,2025
#1 - Starý Most,2025-09-25,194,43,237,48.110442,17.127512,Centrum,Petržalka,3,0,9,2025
#1 - Starý Most,2025-09-26,205,26,231,48.110442,17.127512,Centrum,Petržalka,4,0,9,2025
#1 - Starý Most,2025-09-27,570,37,607,48.110442,17.127512,Centrum,Petržalka,5,1,9,2025
#1 - Starý Most,2025-09-28,608,35,643,48.110442,17.127512,Centrum,Petržalka,6,1,9,2025
#1 - Starý Most,2025-09-29,582,59,641,48.110442,17.127512,Centrum,Petržalka,0,0,9,2025
#1 - Starý Most,2025-09-30,569,62,631,48.110442,17.127512,Centrum,Petržalka,1,0,9,2025
#1 - Starý Most,2025-10-01,462,58,520,48.110442,17.127512,Centrum,Petržalka,2,0,10,2025
#1 - Starý Most,2025-10-02,470,53,523,48.110442,17.127512,Centrum,Petržalka,3,0,10,2025
#1 - Starý Most,2025-10-03,314,40,354,48.110442,17.127512,Centrum,Petržalka,4,0,10,2025
#1 - Starý Most,2025-10-04,297,32,329,48.110442,17.127512,Centrum,Petržalka,5,1,10,2025
#1 - Starý Most,2025-10-05,303,29,332,48.110442,17.127512,Centrum,Petržalka,6,1,10,2025
#1 - Starý Most,2025-10-06,211,43,254,48.110442,17.127512,Centrum,Petržalka,0,0,10,2025
#1 - Starý Most,2025-10-07,469,56,525,48.110442,17.127512,Centrum,Petržalka,1,0,10,2025
#1 - Starý Most,2025-10-08,567,69,636,48.110442,17.127512,Centrum,Petržalka,2,0,10,2025
#1 - Starý Most,2025-10-09,293,51,344,48.110442,17.127512,Centrum,Petržalka,3,0,10,2025
#1 - Starý Most,2025-10-10,333,51,384,48.110442,17.127512,Centrum,Petržalka,4,0,10,2025
#1 - Starý Most,2025-10-11,423,41,464,48.110442,17.127512,Centrum,Petržalka,5,1,10,2025
#1 - Starý Most,2025-10-12,454,33,487,48.110442,17.127512,Centrum,Petržalka,6,1,10,2025
#1 - Starý Most,2025-10-13,493,61,554,48.110442,17.127512,Centrum,Petržalka,0,0,10,2025
#1 - Starý Most,2025-10-14,477,51,528,48.110442,17.127512,Centrum,Petržalka,1,0,10,2025
#1 - Starý Most,2025-10-15,436,55,491,48.110442,17.127512,Centrum,Petržalka,2,0,10,2025
#1 - Starý Most,2025-10-16,450,55,505,48.110442,17.127512,Centrum,Petržalka,3,0,10,2025
#1 - Starý Most,2025-10-17,386,44,430,48.110442,17.127512,Centrum,Petržalka,4,0,10,2025
#1 - Starý Most,2025-10-18,290,33,323,48.110442,17.127512,Centrum,Petržalka,5,1,10,2025
#1 - Starý Most,2025-10-19,273,40,313,48.110442,17.127512,Centrum,Petržalka,6,1,10,2025
#1 - Starý Most,2025-10-20,330,47,377,48.110442,17.127512,Centrum,Petržalka,0,0,10,2025
